date,region,warehouse_id,warehouse_location,service,instance_type,storage_type,pricing_model,usage_quantity,usage_unit,total_cost,discount_%,environment,application,operation_type,order_count,shipment_volume,total_cost_(derived),effective_cost_(derived),month,cost_per_unit,cloud_provider
2024-01-01,eu-central-1,wh-0414,"dublin, ie",serverless,t3.medium,block,savings plan,18494.25,gb-month,0.6886,28.8,uat,demandforecast,inventorysync,11006,56965.31,12735.14,9067.42,2024-01,3.723319410086919e-05,AWS
2024-01-01,eu-central-1,wh-1756,"rotterdam, nl",cdn,m5.large,cold,on-demand,14601.97,gb-month,0.474,20.49,production,ordermgmt,inventorysync,4274,14108.44,6921.33,5503.15,2024-01,3.2461373362635317e-05,Azure
2024-01-01,ap-southeast-1,wh-2473,"mumbai, in",kubernetes,n2-standard-4,block,savings plan,2578.82,tb,1.2592,35.51,production,inventoryplanner,backup,4021,10940.64,3247.25,2094.15,2024-01,0.0004882853398065783,GCP
2024-01-01,ap-south-1,wh-1991,"sao paulo, br",serverless,n2-standard-4,archive,on-demand,27746.04,vcpu-hours,0.6568,31.87,qa,demandforecast,dataingest,9320,40013.81,18223.6,12415.74,2024-01,2.3671846504942688e-05,AWS
2024-01-01,us-east-1,wh-0011,"phoenix, usa",data transfer,m5.large,hdd,reserved,19910.83,gb,0.0943,22.54,development,demandforecast,backup,6214,43598.21,1877.59,1454.38,2024-01,4.736115973065914e-06,AWS
2024-01-01,us-west-2,wh-1325,"frankfurt, de",networking,f2s_v2,object,spot,1132560.0,requests,0.3266,40.72,development,inventoryplanner,etl,145,69967.85,369894.1,219273.22,2024-01,2.883732429186975e-07,Azure
2024-01-01,ap-south-1,wh-1778,"frankfurt, de",database,n2-standard-4,hdd,spot,56427.08,gb-month,1.4723,23.38,uat,procurementhub,shipmenttracking,112,38302.09,83077.59,63654.05,2024-01,2.6092082028699693e-05,AWS
2024-01-01,us-west-2,wh-0346,"sao paulo, br",networking,t3.medium,ssd,savings plan,1811019.0,requests,0.2301,13.14,staging,procurementhub,inventorysync,1417,25103.49,416715.47,361959.06,2024-01,1.2705554165914328e-07,Azure
2024-01-01,eu-central-1,wh-0698,"rotterdam, nl",compute,t3.medium,archive,savings plan,71999.49,gb-month,0.4459,18.36,development,shipmenttracker,inventorysync,4937,63343.62,32104.57,26210.17,2024-01,6.1930994233431375e-06,AWS
2024-01-01,ap-southeast-1,wh-1289,"chennai, in",data transfer,t3.medium,object,spot,133734.83,gb,0.0579,0.14,staging,routeoptimizer,forecasting,10659,36831.77,7743.25,7732.41,2024-01,4.329463012739464e-07,AWS
2024-01-01,ap-southeast-1,wh-1522,"rotterdam, nl",data transfer,r6g.large,cold,savings plan,23884.41,vcpu-hours,0.1687,20.44,development,financeops,dataingest,11165,2429.4,4029.3,3205.71,2024-01,7.063184730123122e-06,GCP
2024-01-01,eu-west-1,wh-2025,"phoenix, usa",data transfer,t3.medium,archive,preemptible,530.07,hours,0.0381,43.65,development,ordermgmt,inventorysync,14887,44564.07,20.2,11.38,2024-01,7.187729922463071e-05,Azure
2024-01-01,eu-central-1,wh-1517,"rotterdam, nl",networking,n2-standard-4,object,spot,115671.51,gb,0.1054,9.16,development,vendorportal,forecasting,12699,5503.08,12191.78,11075.01,2024-01,9.112010381813119e-07,GCP
2024-01-01,eu-west-1,wh-0175,"singapore, sg",cdn,standard_d4s_v5,archive,savings plan,1350.55,tb,1.2407,35.89,staging,procurementhub,routeoptimization,9394,6526.86,1675.63,1074.25,2024-01,0.0009186627670208433,AWS
2024-01-01,us-west-2,wh-0632,"phoenix, usa",storage,f2s_v2,cold,spot,43059.97,gb-month,0.0324,44.25,production,vendorportal,shipmenttracking,5763,3576.33,1395.14,777.79,2024-01,7.524389821915807e-07,AWS
2024-01-01,sa-east-1,wh-2435,"mumbai, in",analytics,m5.large,ssd,reserved,6049.89,tb,1.0442,9.68,development,warehousesync,inventorysync,10455,32360.56,6317.3,5705.79,2024-01,0.0001725981794710317,Azure
2024-01-01,ap-southeast-1,wh-0928,"phoenix, usa",kubernetes,f2s_v2,cold,reserved,847.46,hours,0.3398,10.48,qa,shipmenttracker,orderprocessing,8660,35558.84,287.97,257.79,2024-01,0.0004009628773039435,AWS
2024-01-01,sa-east-1,wh-1488,"rotterdam, nl",networking,c5.xlarge,block,on-demand,14274.22,vcpu-hours,0.4966,3.21,production,procurementhub,inventorysync,10707,18856.99,7088.58,6861.04,2024-01,3.47899920275854e-05,Azure
2024-01-01,sa-east-1,wh-0240,"dublin, ie",database,n2-standard-4,object,spot,7375.87,tb,1.4111,33.51,qa,ordermgmt,routeoptimization,11530,10296.22,10408.09,6920.34,2024-01,0.00019131302476860357,Oracle Cloud
2024-01-01,eu-central-1,wh-0123,"dallas, usa",networking,c5.xlarge,block,on-demand,146199.58,gb,0.5014,16.31,development,inventoryplanner,etl,7652,29149.39,73304.47,61348.51,2024-01,3.42955841596809e-06,GCP
2024-01-01,us-west-2,wh-2497,"chennai, in",networking,f2s_v2,object,preemptible,35432.29,gb,0.5637,32.92,qa,procurementhub,shipmenttracking,13418,34087.59,19973.18,13398.01,2024-01,1.590921727046149e-05,Azure
2024-01-01,us-west-2,wh-0037,"dallas, usa",cdn,t3.medium,cold,savings plan,78337.47,gb-month,0.9014,42.98,production,routeoptimizer,modeltraining,9869,361.5,70613.4,40263.76,2024-01,1.1506626394750813e-05,AWS
